rated,turns,victory_status,winner,base_time,increment,white_rating,black_rating,opening_eco
FALSE,32,draw,draw,20,25,1207,978,B70
FALSE,71,resign,black,5,5,1241,978,B23
FALSE,30,resign,white,30,0,1500,978,B21
FALSE,66,resign,white,40,40,2443,978,B76
FALSE,41,resign,white,20,0,1500,978,B21
FALSE,49,resign,white,15,0,1500,978,B20
FALSE,3,resign,black,15,0,978,1500,B01
FALSE,7,resign,white,10,0,1343,978,B20
FALSE,35,mate,white,40,40,2436,978,B77
FALSE,41,mate,white,40,40,2436,978,B01
FALSE,5,resign,black,10,0,978,1500,C00
FALSE,7,resign,white,10,0,1500,978,C21
FALSE,53,mate,white,10,0,978,1500,A80
FALSE,36,resign,black,10,0,1500,978,A20
TRUE,8,resign,white,16,0,1521,1162,A04
TRUE,3,resign,white,6,10,1407,1500,B23
TRUE,28,resign,white,10,0,1492,1458,C26
TRUE,30,resign,black,10,0,1414,1442,C41
TRUE,44,resign,black,10,0,1457,1294,C44
TRUE,29,resign,white,10,0,1525,1466,C41
TRUE,37,resign,black,8,10,1207,1579,C00
TRUE,49,resign,white,8,12,1567,1573,A40
TRUE,32,resign,black,8,12,1578,1605,A40
TRUE,25,resign,white,8,12,1939,1581,E10
TRUE,40,mate,black,5,10,1618,1568,C00
TRUE,39,resign,white,7,12,1755,1574,A04
TRUE,57,resign,white,15,10,1561,1596,A45
TRUE,78,resign,black,5,40,1500,1554,C00
TRUE,61,resign,white,15,5,1544,1461,D00
TRUE,44,resign,black,20,5,1563,1335,D00
TRUE,62,mate,black,20,5,1579,1470,A41
TRUE,87,mate,white,20,5,1617,1590,A45
TRUE,54,mate,black,20,5,1207,1588,C02
TRUE,54,resign,black,15,5,1595,1547,D00
TRUE,37,resign,white,15,5,1855,1599,C01
TRUE,50,resign,white,15,5,1589,1547,A40
TRUE,131,resign,white,30,0,1571,1728,D02
TRUE,48,resign,white,30,0,1720,1579,C00
TRUE,47,resign,black,15,5,1579,2105,D02
TRUE,64,mate,black,15,5,1768,1560,C00
TRUE,61,resign,white,15,5,1552,1436,D00
TRUE,57,mate,white,15,5,1536,1667,D02
TRUE,51,resign,white,15,5,1521,1549,A10
TRUE,58,mate,black,15,5,1251,1545,A00
TRUE,71,resign,white,15,5,1537,1408,D00
TRUE,114,resign,white,15,5,1522,1512,A40
TRUE,39,resign,white,15,5,1602,1532,C18
TRUE,20,resign,black,15,5,1543,1593,D02
TRUE,48,resign,black,30,0,1556,1539,D00
TRUE,34,mate,black,20,10,1409,1548,C00
TRUE,51,resign,white,20,10,1539,1418,D02
TRUE,69,resign,white,20,10,1603,1550,C00
TRUE,28,resign,white,20,10,1542,1399,D00
TRUE,62,resign,black,20,10,1546,1877,D02
TRUE,62,mate,black,20,10,1134,1535,A47
TRUE,85,mate,white,20,10,1513,1784,A40
TRUE,38,resign,white,20,10,1501,1445,D02
FALSE,14,resign,white,45,0,1500,1500,C50
TRUE,113,draw,draw,15,0,1745,1714,D06
TRUE,62,resign,white,15,0,1734,1748,D06
TRUE,101,resign,white,10,0,1942,1739,C10
TRUE,75,outoftime,white,10,0,1724,1855,C45
TRUE,135,mate,white,10,0,1951,1729,C02
TRUE,81,outoftime,white,10,0,1726,1388,C41
TRUE,46,resign,black,10,0,1735,1806,D80
TRUE,70,mate,black,10,0,1597,1728,C00
TRUE,39,resign,white,10,0,1743,1738,C10
TRUE,91,resign,white,10,0,1721,1750,D30
TRUE,137,outoftime,white,10,0,1746,1487,D20
TRUE,46,resign,black,10,0,1744,1735,C02
TRUE,18,resign,black,10,0,1749,1631,D41
TRUE,28,resign,black,10,0,1769,1396,D20
TRUE,40,resign,black,5,8,1795,1760,A46
TRUE,111,mate,white,15,0,1729,1795,D31
TRUE,54,mate,black,10,0,1795,1784,C64
TRUE,33,resign,white,10,0,1770,1872,D02
TRUE,90,resign,black,10,0,1783,1721,D02
TRUE,90,resign,black,10,0,1884,1768,C64
TRUE,40,mate,black,10,0,1756,1756,C24
TRUE,49,outoftime,white,8,0,1724,1958,A43
TRUE,50,resign,black,10,0,2036,1706,A08
TRUE,59,mate,white,10,0,1706,925,D02
TRUE,26,outoftime,black,15,15,1244,1219,B00
TRUE,23,mate,white,15,15,1215,921,C50
TRUE,118,mate,black,15,15,1350,1201,B03
TRUE,66,mate,black,15,15,1210,1280,B29
TRUE,120,draw,draw,15,15,1139,1212,C50
TRUE,36,mate,black,15,15,1220,1341,C57
TRUE,26,mate,black,15,15,1234,1359,C55
TRUE,62,resign,black,15,15,1275,1236,C57
TRUE,37,resign,white,15,15,1433,1282,B02
TRUE,24,resign,black,15,15,1132,1276,D06
FALSE,47,resign,white,30,2,1276,1308,C55
TRUE,37,resign,black,15,15,1228,1266,B02
TRUE,24,resign,black,15,15,1273,1409,B13
TRUE,9,resign,white,15,15,1338,1277,D00
TRUE,47,mate,white,15,15,1263,1336,B57
TRUE,85,mate,white,15,15,1316,1273,A20
TRUE,39,mate,white,15,15,1248,1253,B00
TRUE,58,mate,black,15,15,1335,1233,E20
TRUE,95,mate,white,15,15,1223,1189,C57
TRUE,2,resign,black,15,15,1443,1204,B02
TRUE,97,mate,white,15,15,1227,1216,D06
TRUE,12,draw,draw,15,15,1215,1219,C50
TRUE,30,resign,white,15,15,1227,1227,C50
TRUE,43,mate,white,10,0,1550,1225,E11
TRUE,11,resign,white,15,15,1325,1234,B02
TRUE,72,mate,black,15,15,1212,1221,B02
TRUE,156,mate,black,15,15,1226,1478,C40
TRUE,18,resign,black,25,0,1228,1626,D30
FALSE,77,mate,white,10,2,1191,1228,C11
TRUE,32,resign,black,30,0,1422,1210,B02
TRUE,35,resign,white,15,15,1186,1223,C28
TRUE,85,mate,white,15,15,1212,1212,B06
TRUE,50,resign,black,15,15,1228,1343,B01
TRUE,111,resign,white,10,10,1865,1862,A46
TRUE,65,outoftime,white,7,2,1852,1852,B30
TRUE,73,resign,white,15,0,1833,1863,A56
TRUE,125,resign,white,15,0,1851,1918,B27
TRUE,76,resign,black,15,0,1861,1844,C55
TRUE,65,outoftime,white,10,0,1853,1774,C65
TRUE,41,mate,white,10,0,1910,1862,B90
TRUE,59,resign,white,10,0,1851,1890,C00
TRUE,70,resign,black,15,5,1860,1840,B50
TRUE,34,resign,white,25,25,1828,1848,B51
TRUE,69,outoftime,white,8,0,1855,1858,E00
TRUE,63,resign,white,10,10,1847,1895,C70
TRUE,107,resign,white,10,10,1885,1856,B50
TRUE,58,resign,white,30,0,1847,1802,A40
FALSE,34,resign,black,20,5,1847,1856,B11
TRUE,100,outoftime,black,15,0,1840,1837,B22
TRUE,80,resign,black,5,5,1848,1806,B40
TRUE,44,resign,black,15,0,1860,1820,C00
TRUE,40,outoftime,black,10,0,1854,1849,A45
TRUE,105,outoftime,white,10,0,1895,1859,B50
TRUE,50,resign,black,15,0,1866,1965,B31
FALSE,144,outoftime,draw,10,0,1866,1843,B50
FALSE,81,resign,black,10,0,1835,1866,B18
TRUE,69,resign,black,15,0,1877,1860,C61
TRUE,77,mate,white,7,8,1849,1874,B90
TRUE,158,mate,black,6,6,1835,1865,E10
TRUE,107,draw,draw,15,5,1866,1835,C55
TRUE,117,mate,white,15,0,1856,1829,C78
TRUE,44,resign,white,10,0,1845,1846,C70
TRUE,40,resign,black,15,0,1834,1835,B30
TRUE,59,resign,white,15,5,1846,1845,B10
FALSE,110,resign,black,10,0,1845,1917,D06
TRUE,30,resign,black,15,0,1858,1790,B01
TRUE,54,resign,black,10,0,1871,1847,B30
TRUE,69,resign,black,10,0,1846,1869,C41
TRUE,178,mate,black,16,0,1843,1836,B22
TRUE,136,resign,black,15,0,1800,1826,B20
FALSE,124,mate,black,8,0,1283,1267,B30
TRUE,96,resign,black,10,4,1290,1270,A00
TRUE,53,outoftime,white,12,0,1331,1281,D00
TRUE,39,mate,white,10,0,1304,1292,A00
TRUE,10,mate,black,10,0,1305,1293,C00
TRUE,51,mate,white,10,0,1308,1317,C22
TRUE,18,resign,black,15,0,1296,1305,C54
FALSE,106,mate,black,30,0,968,1305,C50
FALSE,38,mate,black,15,15,1293,1466,C41
TRUE,59,mate,white,7,2,1500,1299,C68
TRUE,111,mate,white,7,2,1288,1232,B12
TRUE,28,resign,black,7,2,1289,2108,C77
FALSE,101,outoftime,white,7,2,1431,1289,C22
FALSE,15,mate,white,7,2,1806,1289,C45
FALSE,42,resign,white,7,2,1289,1311,C41
FALSE,118,resign,black,7,2,1431,1289,A40
FALSE,34,resign,black,7,2,1289,1484,C50
FALSE,60,resign,black,7,2,1289,1810,A42
FALSE,66,resign,black,7,2,1806,1289,C44
FALSE,21,outoftime,white,5,8,1289,1500,C41
TRUE,73,mate,white,15,1,1409,1297,C70
TRUE,159,mate,white,15,1,1280,1485,C55
FALSE,74,resign,white,15,0,1280,1211,B01
FALSE,28,mate,black,15,0,1211,1280,A00
TRUE,112,mate,black,10,0,1281,1765,C41
TRUE,104,resign,black,15,1,1288,1454,C42
TRUE,40,mate,black,15,1,1560,1270,D07
TRUE,44,mate,black,15,1,1274,1534,B27
TRUE,150,draw,draw,15,1,1259,1663,C55
TRUE,60,mate,black,10,0,1614,1238,D02
TRUE,37,mate,white,10,0,1221,1417,C02
TRUE,88,outoftime,black,10,0,1222,1732,B32
TRUE,113,mate,white,10,0,1232,1234,C68
TRUE,55,mate,white,20,5,1240,1219,C42
TRUE,135,mate,white,10,0,1590,1600,A22
TRUE,137,draw,draw,10,0,1568,1617,C50
TRUE,97,outoftime,white,10,0,1500,1358,C46
FALSE,33,resign,black,10,2,1384,1325,B07
FALSE,29,resign,black,30,0,1384,1265,A06
FALSE,55,resign,black,2,10,1384,1950,A04
TRUE,91,resign,white,20,10,1377,1249,B01
TRUE,53,resign,white,9,0,1375,1389,C20
TRUE,49,mate,white,10,2,1378,1361,C41
TRUE,48,mate,black,10,2,1261,1371,B07
TRUE,20,resign,black,10,9,1380,1429,B30
TRUE,87,mate,white,10,0,1369,1368,C42
TRUE,11,resign,white,10,0,1290,1371,C77
TRUE,110,draw,draw,15,3,1372,1326,B00
TRUE,24,resign,white,6,7,1361,1383,A00
TRUE,23,resign,white,15,15,1217,1399,A22
TRUE,81,mate,white,15,30,1387,1447,C60
FALSE,34,resign,black,20,0,1474,1387,B01
TRUE,103,mate,white,15,2,1377,1351,C41
TRUE,29,resign,black,30,10,1389,1339,C40
FALSE,22,resign,black,30,15,1389,1400,C41
FALSE,38,resign,white,10,0,1849,1389,C44
TRUE,46,mate,black,8,0,1395,1378,C50
TRUE,23,outoftime,white,5,5,1370,1257,C61
TRUE,31,resign,white,10,3,1360,1332,B00
FALSE,51,resign,white,10,0,1311,1360,C21
FALSE,87,mate,white,20,0,1714,1360,C64
TRUE,31,mate,white,45,30,1354,1217,C50
TRUE,38,resign,black,15,15,1245,1346,D20
FALSE,43,resign,white,10,4,1346,1099,C55
TRUE,105,resign,white,9,2,1336,1287,A07
FALSE,87,outoftime,white,10,0,1580,1555,A10
FALSE,36,mate,black,10,0,1555,1580,B40
TRUE,38,resign,black,6,6,1649,1547,C02
TRUE,110,resign,black,8,0,1426,1527,C00
TRUE,48,resign,black,15,0,1557,1547,C70
FALSE,95,mate,white,5,8,1557,1607,E20
FALSE,70,mate,black,5,8,1607,1557,A02
FALSE,42,resign,white,10,0,1557,1632,B32
TRUE,177,outoftime,white,10,3,1535,1609,C58
TRUE,114,mate,black,10,2,1713,1558,A00
TRUE,57,resign,white,10,2,1497,1730,B00
TRUE,57,resign,white,7,3,1437,1552,C50
FALSE,82,draw,draw,10,0,1516,1552,A03
TRUE,29,mate,white,7,3,1513,1456,B54
TRUE,70,resign,black,10,0,1355,1478,C55
TRUE,97,mate,white,10,0,1638,1614,C55
TRUE,99,resign,white,6,5,1613,1934,B12
FALSE,74,resign,black,10,0,1865,1613,D03
TRUE,48,mate,black,8,0,1776,1587,D00
TRUE,77,mate,white,15,0,1568,1593,C10
TRUE,80,resign,black,15,0,1605,1546,B01
TRUE,35,resign,white,8,0,1518,1709,B00
TRUE,33,resign,white,10,0,1728,1527,D31
TRUE,87,mate,white,10,0,1515,1379,B01
TRUE,40,resign,black,10,0,1538,1501,B06
TRUE,54,resign,black,10,0,1511,1516,D30
TRUE,67,resign,black,10,0,1464,1495,C69
TRUE,21,mate,white,10,0,1470,1475,C40
TRUE,14,mate,black,10,0,1490,1440,C50
FALSE,71,resign,white,15,15,1611,1974,D41
TRUE,72,outoftime,black,10,0,1611,1945,E20
TRUE,62,resign,black,10,0,1584,1611,A31
TRUE,48,resign,black,10,0,1942,1611,A00
TRUE,6,outoftime,black,10,2,1217,1611,C46
TRUE,69,draw,draw,20,0,1611,2059,D46
TRUE,72,resign,white,15,15,1611,1478,B27
TRUE,40,mate,black,15,15,1486,1552,C44
TRUE,29,mate,white,15,15,1453,1496,B06
TRUE,44,resign,white,15,15,1340,1326,A40
TRUE,59,mate,white,10,0,1532,1500,C00
TRUE,115,resign,white,10,0,1560,1557,C34
TRUE,70,resign,black,10,0,1571,1577,A03
TRUE,36,resign,black,10,0,1580,1617,A03
TRUE,83,resign,white,10,0,1531,1593,C46
TRUE,99,draw,draw,10,0,1449,1597,C48
TRUE,43,resign,white,10,0,1743,1604,C34
TRUE,89,resign,white,10,0,1604,1614,C48
TRUE,96,resign,black,10,0,1550,1605,D00
FALSE,116,mate,black,10,0,1630,1605,C42
FALSE,78,mate,black,15,0,1475,1605,A00
FALSE,77,mate,white,15,0,1605,1475,A02
FALSE,70,mate,black,15,0,1475,1605,C20
FALSE,27,resign,white,10,0,1570,1605,C42
FALSE,102,resign,black,10,0,1605,1500,A02
FALSE,21,resign,white,10,0,1500,1605,C47
FALSE,33,resign,white,10,0,1605,1500,A02
FALSE,74,resign,black,10,0,1513,1605,C42
TRUE,65,resign,white,25,5,1790,1874,A00
TRUE,81,resign,white,25,5,1864,1805,B24
TRUE,45,resign,black,25,5,1496,1861,A45
TRUE,52,resign,white,25,5,1851,1853,C67
TRUE,51,resign,white,10,0,1861,1863,B11
TRUE,48,draw,draw,10,0,1618,1609,C00
TRUE,20,resign,black,10,0,1620,1607,A00
TRUE,50,mate,black,10,0,1621,1496,B30
TRUE,98,resign,black,10,0,1633,1581,C41
TRUE,106,mate,black,10,0,1623,1623,C60
TRUE,19,resign,white,10,0,1612,1614,C50
TRUE,22,resign,white,10,0,1605,1624,C50
TRUE,114,draw,draw,10,0,1693,1621,E61
TRUE,69,resign,black,10,0,1631,1684,B50
TRUE,34,mate,black,10,0,1636,1619,C53
TRUE,40,mate,black,10,0,1613,1617,C57
TRUE,108,resign,black,10,0,1627,1495,C50
TRUE,27,resign,white,10,0,1480,1643,C23
TRUE,63,resign,white,10,0,1631,1652,B30
TRUE,31,resign,white,10,0,1687,1641,C44
TRUE,71,resign,white,10,0,1630,1638,C55
TRUE,92,mate,black,10,0,1414,1624,C60
TRUE,47,mate,white,10,0,1619,1419,C57
TRUE,56,resign,black,10,0,1629,1659,C42
TRUE,48,resign,white,10,0,1649,1639,C23
TRUE,124,resign,black,10,0,1677,1627,A00
TRUE,49,mate,white,10,0,1705,1636,C45
TRUE,64,resign,black,10,0,1647,1635,B96
TRUE,29,resign,white,10,0,1637,1627,C53
TRUE,45,resign,white,10,0,1626,1631,C50
TRUE,96,resign,black,10,0,1602,1615,C34
TRUE,92,resign,black,10,0,1634,1603,C23
TRUE,40,mate,black,10,0,1611,1591,C50
TRUE,123,mate,white,10,0,1579,1623,C54
TRUE,129,mate,white,10,0,1995,1581,A05
TRUE,120,mate,black,10,0,1589,1569,D92
TRUE,71,draw,draw,10,0,1570,1555,C55
TRUE,97,mate,white,10,0,1559,1557,C00
TRUE,60,resign,white,10,0,1546,1571,A45
TRUE,57,resign,white,10,0,1550,1567,B21
TRUE,38,resign,white,5,7,1560,1419,B12
TRUE,111,resign,white,8,0,1840,1564,C45
TRUE,119,resign,black,10,0,1660,1549,A49
TRUE,33,mate,white,10,0,1534,1678,C41
TRUE,32,resign,white,10,0,1789,1538,E10
TRUE,96,resign,black,15,0,1841,1921,C22
TRUE,92,draw,draw,8,10,1926,1737,A04
TRUE,64,resign,black,8,2,1629,1887,D00
TRUE,10,resign,black,5,5,1860,1712,C37
TRUE,85,resign,white,20,8,1500,1568,A09
TRUE,40,resign,black,10,0,1780,2132,B90
TRUE,58,resign,black,10,0,966,1124,B01
TRUE,26,outoftime,black,15,15,884,951,A01
TRUE,4,outoftime,black,15,15,945,1070,C40
TRUE,118,mate,black,10,0,971,1149,B00
TRUE,11,mate,white,15,15,1238,985,A00
TRUE,163,outoftime,draw,10,0,972,1247,A20
TRUE,95,mate,white,10,0,1107,961,B00
TRUE,37,resign,black,10,0,974,1129,D00
TRUE,101,mate,white,10,2,1203,970,C21
TRUE,80,outoftime,black,10,0,998,937,C00
TRUE,78,resign,black,10,0,1016,1126,A00
TRUE,89,outoftime,draw,10,0,1025,1153,C01
TRUE,42,mate,black,10,0,1047,1151,D02
TRUE,8,outoftime,black,10,0,998,1016,C44
TRUE,101,outoftime,white,10,0,1127,1044,C20
TRUE,65,outoftime,white,10,0,1020,1200,D02
TRUE,60,mate,black,10,0,1069,1071,D02
TRUE,71,draw,draw,10,0,1071,1068,D00
TRUE,44,resign,black,10,0,1115,1223,D01
TRUE,20,resign,black,10,0,1190,1213,D01
TRUE,41,resign,white,10,0,1337,1337,C40
TRUE,40,resign,black,10,0,1500,1500,B01
TRUE,27,resign,white,25,25,1500,1571,C41
TRUE,59,resign,black,15,10,1367,1866,A00
TRUE,19,mate,white,10,0,1590,1373,B00
TRUE,50,mate,black,10,0,1377,1667,A00
TRUE,34,resign,black,10,0,1558,1358,C88
TRUE,15,mate,white,5,8,1476,1367,B00
TRUE,52,resign,black,5,8,1376,1469,A00
TRUE,65,mate,white,5,8,1460,1386,B00
TRUE,67,resign,white,10,0,1372,1408,C41
TRUE,31,resign,black,5,5,1373,2148,B40
FALSE,130,mate,black,8,0,1500,1395,C00
TRUE,125,mate,white,8,0,1382,1414,C01
TRUE,76,resign,black,15,5,1320,1400,C00
TRUE,121,resign,white,15,5,1383,1330,A46
FALSE,53,resign,white,30,0,1383,1242,D02
TRUE,116,outoftime,black,16,0,1469,1357,C02
FALSE,47,resign,white,25,0,959,1357,A00
FALSE,53,resign,white,25,0,1357,959,D00
FALSE,76,mate,black,25,0,959,1357,A00
TRUE,110,draw,draw,15,10,1588,1691,C50
TRUE,67,mate,white,15,3,1541,1586,B34
TRUE,17,resign,white,30,5,1517,1320,C40
TRUE,39,mate,white,25,15,1569,1569,A01
TRUE,94,resign,black,30,0,1563,1498,C03
TRUE,37,resign,white,10,10,1903,1512,E20
TRUE,37,mate,white,20,0,1612,1450,B13
FALSE,34,resign,white,15,15,1327,1450,B00
FALSE,41,outoftime,white,10,0,1245,1450,B12
FALSE,30,resign,black,15,7,1921,1451,C40
TRUE,51,resign,white,10,0,1462,1464,A00
TRUE,79,mate,white,10,0,1450,1486,C33
TRUE,83,resign,white,10,0,1439,1418,C33
TRUE,14,resign,black,8,8,1728,1500,C55
TRUE,21,resign,white,10,0,1547,1563,B02
TRUE,47,resign,white,10,0,1863,1567,B02
TRUE,38,resign,white,10,0,1559,1423,A40
TRUE,34,resign,black,10,0,1570,1611,B06
TRUE,39,resign,white,10,0,1562,1582,B03
TRUE,43,resign,white,5,9,1576,1386,D00
TRUE,41,mate,white,5,8,1353,1595,B10
TRUE,49,resign,white,16,7,1591,1326,D00
TRUE,38,outoftime,black,10,10,1560,1580,B02
TRUE,70,outoftime,black,5,5,1727,1574,B01
TRUE,48,resign,black,10,0,1579,1841,E00
TRUE,50,resign,black,10,0,1877,1558,C11
TRUE,57,resign,white,10,0,1536,1962,A45
TRUE,148,outoftime,draw,10,0,1529,1763,D00
TRUE,62,mate,black,10,7,1590,1515,B01
TRUE,29,resign,white,10,0,1653,1522,A80
TRUE,52,mate,black,10,0,1675,1505,B01
TRUE,26,mate,black,10,0,1547,1491,B01
TRUE,59,resign,black,10,0,1507,1399,A40
TRUE,2,draw,draw,10,0,1641,1502,B01
TRUE,195,draw,draw,10,0,1496,1703,A48
TRUE,56,resign,black,10,0,1482,1484,B01
TRUE,40,resign,black,10,0,1486,1909,A40
TRUE,31,mate,white,10,0,1919,1488,A11
TRUE,60,resign,black,10,0,1488,2192,A45
TRUE,45,resign,white,10,0,1470,1684,D00
TRUE,63,draw,draw,5,8,1465,1659,A81
TRUE,17,resign,white,10,0,1586,1473,D02
TRUE,34,resign,white,10,0,1548,1488,B03
TRUE,36,mate,black,10,0,1500,1501,A45
TRUE,62,mate,black,10,0,1509,1487,B05
TRUE,46,draw,draw,7,5,1356,1491,B01
TRUE,34,resign,black,10,0,1495,1771,A45
TRUE,38,resign,white,5,5,1529,1639,C00
TRUE,107,resign,white,5,5,1631,1537,C41
TRUE,42,resign,black,5,5,1546,1621,B54
TRUE,35,resign,white,5,5,1568,1636,C00
TRUE,122,mate,black,5,5,1354,1631,C00
TRUE,71,mate,white,5,5,1626,1384,B53
TRUE,42,resign,black,5,5,1639,1813,B06
TRUE,2,outoftime,black,5,5,1646,1795,D00
TRUE,11,resign,white,5,5,1646,939,D10
TRUE,54,resign,black,5,5,1657,1678,B08
TRUE,58,resign,white,5,5,1667,1668,B06
TRUE,42,resign,black,5,5,1683,1599,C30
TRUE,116,draw,draw,5,5,1596,1686,A40
TRUE,74,mate,black,5,5,1769,1659,A10
TRUE,54,mate,black,5,5,1668,1761,A40
TRUE,85,resign,white,5,5,1752,1677,A15
TRUE,38,resign,black,5,5,1688,1743,B43
TRUE,41,resign,white,5,5,1582,1704,C00
TRUE,121,mate,white,5,5,1693,1666,B53
TRUE,30,resign,black,5,5,1676,1680,C00
TRUE,64,resign,black,10,3,1142,1679,D00
TRUE,15,mate,white,10,3,1678,1148,C21
TRUE,40,resign,black,10,3,1154,1676,A00
TRUE,128,draw,draw,10,3,1686,1098,B00
TRUE,48,resign,black,10,3,1102,1685,A00
TRUE,51,mate,white,10,3,1684,1107,C01
TRUE,71,resign,black,5,5,1493,1678,C00
TRUE,60,resign,white,5,5,1525,1693,D02
TRUE,58,mate,black,5,5,1709,1681,A40
TRUE,60,resign,black,5,5,1692,1699,A03
TRUE,40,resign,white,5,5,1688,1704,A10
TRUE,29,outoftime,white,5,5,1699,1497,A11
TRUE,98,resign,black,5,5,1703,1943,A15
TRUE,71,resign,black,5,5,1694,1692,C10
TRUE,135,draw,draw,5,5,1696,1564,A10
TRUE,34,mate,black,5,5,1572,1688,C01
TRUE,60,mate,black,5,5,1392,1684,C07
TRUE,47,resign,black,5,5,1707,1696,A34
TRUE,23,resign,white,5,5,1684,1720,D08
TRUE,78,mate,black,5,5,1733,1672,A30
TRUE,35,mate,white,5,5,1721,1736,E61
TRUE,53,resign,white,5,5,1724,1733,A08
TRUE,120,mate,black,5,5,1746,1712,A11
TRUE,41,mate,white,5,5,1741,1496,A13
TRUE,42,resign,black,15,15,1295,1240,D11
TRUE,63,resign,white,15,2,1430,1302,D03
FALSE,23,resign,black,15,2,1302,1248,D06
TRUE,32,resign,black,10,0,1314,1270,D20
FALSE,73,resign,white,15,2,1445,1314,D31
TRUE,90,resign,black,15,15,1321,1451,D50
TRUE,41,mate,white,15,15,1300,1333,B52
TRUE,43,resign,white,15,2,1318,1449,D06
TRUE,38,resign,black,15,2,1450,1303,A73
TRUE,41,mate,white,15,2,1290,1367,D20
TRUE,84,resign,black,15,2,1300,1330,D35
TRUE,56,resign,black,15,2,1209,1291,A01
TRUE,30,resign,black,15,2,1299,1418,D31
FALSE,6,resign,white,40,20,1814,1299,C50
TRUE,67,resign,white,15,2,1348,1308,C20
TRUE,56,resign,black,15,2,1318,1366,D20
TRUE,103,resign,white,15,2,1324,1329,C44
TRUE,40,mate,black,15,2,1345,1187,D20
TRUE,52,resign,black,15,2,1352,1149,D31
TRUE,57,draw,draw,15,2,1350,1429,D35
TRUE,23,resign,white,15,2,1403,1340,A40
TRUE,39,mate,white,15,2,1322,1072,D20
TRUE,52,resign,black,15,2,1331,1382,D08
TRUE,41,resign,white,15,2,1373,1341,D21
TRUE,33,resign,white,15,15,1350,1265,C44
TRUE,58,resign,black,15,15,1270,1299,D00
TRUE,31,mate,white,15,15,1223,1282,B01
TRUE,15,resign,white,15,15,1289,1306,C50
TRUE,32,resign,black,15,15,1007,1268,C50
TRUE,45,resign,white,10,0,1170,1179,C21
TRUE,25,resign,white,10,0,1442,1183,C70
TRUE,15,resign,white,15,15,1172,1170,C42
TRUE,62,resign,black,15,15,1178,1346,B18
TRUE,59,resign,white,15,15,1171,1190,C53
TRUE,51,resign,white,15,15,1175,1329,C78
TRUE,22,resign,black,15,15,1273,1160,D00
TRUE,27,resign,white,10,0,1154,974,C41
TRUE,34,resign,black,15,15,1167,1122,C65
TRUE,79,outoftime,white,10,0,1439,1171,C70
TRUE,73,resign,white,15,15,1245,1170,C53
TRUE,74,mate,black,10,0,1250,1156,A00
TRUE,92,resign,black,10,0,1164,1263,C70
TRUE,26,resign,black,15,15,1173,1251,B30
TRUE,40,mate,black,15,15,1089,1165,C50
TRUE,77,resign,white,10,0,1278,1173,C20
TRUE,58,resign,black,15,15,1178,1391,C64
TRUE,51,mate,white,15,15,1164,1293,C70
TRUE,73,outoftime,white,10,0,1353,1170,C53
TRUE,50,mate,black,15,15,1030,1162,D02
TRUE,52,resign,black,15,15,1176,1118,C42
TRUE,11,mate,white,15,15,1353,1181,C20
TRUE,61,resign,white,15,15,1184,1184,C44
TRUE,19,resign,white,15,15,1171,1252,C42
TRUE,51,resign,white,15,15,1157,1234,C55
TRUE,12,resign,black,15,15,1034,1149,D01
TRUE,86,draw,draw,15,15,1156,886,C50
TRUE,27,mate,white,15,15,1142,1226,C00
